symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2018-03-23 00:00:00+00:00,301.54,311.25,300.45,311.25,6600538,20.1026666667,20.75,20.03,20.75,99008070,0.0,1.0
TSLA,2018-03-26 00:00:00+00:00,304.18,307.59,291.36,307.34,8324639,20.2786666667,20.506,19.424,20.4893333333,124869585,0.0,1.0
TSLA,2018-03-27 00:00:00+00:00,279.18,304.27,277.18,304.0,13696168,18.612,20.2846666667,18.4786666667,20.2666666667,205442520,0.0,1.0
TSLA,2018-03-28 00:00:00+00:00,257.78,268.68,252.1,264.58,21001437,17.1853333333,17.912,16.8066666667,17.6386666667,315021555,0.0,1.0
TSLA,2018-03-29 00:00:00+00:00,266.13,270.96,248.21,256.49,15170749,17.742,18.064,16.5473333333,17.0993333333,227561235,0.0,1.0
TSLA,2018-04-02 00:00:00+00:00,252.48,260.33,244.59,256.26,16113968,16.832,17.3553333333,16.306,17.084,241709520,0.0,1.0
TSLA,2018-04-03 00:00:00+00:00,267.53,273.35,254.49,269.82,18844384,17.8353333333,18.2233333333,16.966,17.988,282665760,0.0,1.0
TSLA,2018-04-04 00:00:00+00:00,286.94,288.37,252.0,252.78,19896746,19.1293333333,19.2246666667,16.8,16.852,298451190,0.0,1.0
TSLA,2018-04-05 00:00:00+00:00,305.72,306.26,288.2,289.34,19121101,20.3813333333,20.4173333333,19.2133333333,19.2893333333,286816515,0.0,1.0
TSLA,2018-04-06 00:00:00+00:00,299.3,309.28,295.5,301.0,13520286,19.9533333333,20.6186666667,19.7,20.0666666667,202804290,0.0,1.0
TSLA,2018-04-09 00:00:00+00:00,289.66,309.5,289.21,300.37,10249805,19.3106666667,20.6333333333,19.2806666667,20.0246666667,153747075,0.0,1.0
TSLA,2018-04-10 00:00:00+00:00,304.7,307.1,293.68,298.97,11024259,20.3133333333,20.4733333333,19.5786666667,19.9313333333,165363885,0.0,1.0
TSLA,2018-04-11 00:00:00+00:00,300.93,308.98,299.66,300.74,7482945,20.062,20.5986666667,19.9773333333,20.0493333333,112244175,0.0,1.0
TSLA,2018-04-12 00:00:00+00:00,294.08,303.95,293.68,302.32,7608769,19.6053333333,20.2633333333,19.5786666667,20.1546666667,114131535,0.0,1.0
TSLA,2018-04-13 00:00:00+00:00,300.34,303.95,295.98,303.6,7327223,20.0226666667,20.2633333333,19.732,20.24,109908345,0.0,1.0
TSLA,2018-04-16 00:00:00+00:00,291.21,299.66,289.01,299.0,6338488,19.414,19.9773333333,19.2673333333,19.9333333333,95077320,0.0,1.0
TSLA,2018-04-17 00:00:00+00:00,287.69,292.17,282.51,288.87,7000023,19.1793333333,19.478,18.834,19.258,105000345,0.0,1.0
TSLA,2018-04-18 00:00:00+00:00,293.35,300.24,288.16,291.08,6557700,19.5566666667,20.016,19.2106666667,19.4053333333,98365500,0.0,1.0
TSLA,2018-04-19 00:00:00+00:00,300.08,301.01,288.55,291.08,6090599,20.0053333333,20.0673333333,19.2366666667,19.4053333333,91358985,0.0,1.0
TSLA,2018-04-20 00:00:00+00:00,290.24,299.98,289.75,295.17,5627928,19.3493333333,19.9986666667,19.3166666667,19.678,84418920,0.0,1.0
TSLA,2018-04-23 00:00:00+00:00,283.37,291.62,282.33,291.29,4893378,18.8913333333,19.4413333333,18.822,19.4193333333,73400670,0.0,1.0
TSLA,2018-04-24 00:00:00+00:00,283.46,287.09,278.46,285.0,5685308,18.8973333333,19.1393333333,18.564,19.0,85279620,0.0,1.0
TSLA,2018-04-25 00:00:00+00:00,280.69,285.16,277.25,283.5,4013574,18.7126666667,19.0106666667,18.4833333333,18.9,60203610,0.0,1.0
TSLA,2018-04-26 00:00:00+00:00,285.48,285.79,276.5,278.75,4356013,19.032,19.0526666667,18.4333333333,18.5833333333,65340195,0.0,1.0
TSLA,2018-04-27 00:00:00+00:00,294.08,294.47,283.83,285.37,4364626,19.6053333333,19.6313333333,18.922,19.0246666667,65469390,0.0,1.0
TSLA,2018-04-30 00:00:00+00:00,293.9,298.73,292.5,293.61,4228172,19.5933333333,19.9153333333,19.5,19.574,63422580,0.0,1.0
TSLA,2018-05-01 00:00:00+00:00,299.92,300.82,293.22,293.51,4625603,19.9946666667,20.0546666667,19.548,19.5673333333,69384045,0.0,1.0
TSLA,2018-05-02 00:00:00+00:00,301.15,306.85,297.78,298.57,8970370,20.0766666667,20.4566666667,19.852,19.9046666667,134555550,0.0,1.0
TSLA,2018-05-03 00:00:00+00:00,284.45,288.04,275.23,278.79,17352130,18.9633333333,19.2026666667,18.3486666667,18.586,260281950,0.0,1.0
TSLA,2018-05-04 00:00:00+00:00,294.09,296.86,279.52,283.0,8569354,19.606,19.7906666667,18.6346666667,18.8666666667,128540310,0.0,1.0
TSLA,2018-05-07 00:00:00+00:00,302.77,305.96,295.17,297.5,8678224,20.1846666667,20.3973333333,19.678,19.8333333333,130173360,0.0,1.0
TSLA,2018-05-08 00:00:00+00:00,301.97,307.75,299.0,300.8,5930000,20.1313333333,20.5166666667,19.9333333333,20.0533333333,88950000,0.0,1.0
TSLA,2018-05-09 00:00:00+00:00,306.85,307.01,300.05,300.41,5727365,20.4566666667,20.4673333333,20.0033333333,20.0273333333,85910475,0.0,1.0
TSLA,2018-05-10 00:00:00+00:00,305.02,312.99,304.11,307.5,5651561,20.3346666667,20.866,20.274,20.5,84773415,0.0,1.0
TSLA,2018-05-11 00:00:00+00:00,301.06,308.88,299.08,307.7,4679649,20.0706666667,20.592,19.9386666667,20.5133333333,70194735,0.0,1.0
TSLA,2018-05-14 00:00:00+00:00,291.97,304.94,291.62,303.32,7286804,19.4646666667,20.3293333333,19.4413333333,20.2213333333,109302060,0.0,1.0
TSLA,2018-05-15 00:00:00+00:00,284.18,286.96,280.5,285.01,9519173,18.9453333333,19.1306666667,18.7,19.0006666667,142787595,0.0,1.0
TSLA,2018-05-16 00:00:00+00:00,286.48,288.81,281.56,283.83,5674019,19.0986666667,19.254,18.7706666667,18.922,85110285,0.0,1.0
TSLA,2018-05-17 00:00:00+00:00,284.54,289.19,283.97,285.9,4420612,18.9693333333,19.2793333333,18.9313333333,19.06,66309180,0.0,1.0
TSLA,2018-05-18 00:00:00+00:00,276.82,284.65,274.0,284.65,7251887,18.4546666667,18.9766666667,18.2666666667,18.9766666667,108778305,0.0,1.0
TSLA,2018-05-21 00:00:00+00:00,284.49,291.49,281.3,281.33,9182571,18.966,19.4326666667,18.7533333333,18.7553333333,137738565,0.0,1.0
TSLA,2018-05-22 00:00:00+00:00,275.01,288.0,273.42,287.76,8945756,18.334,19.2,18.228,19.184,134186340,0.0,1.0
TSLA,2018-05-23 00:00:00+00:00,279.07,279.91,274.0,277.76,5985053,18.6046666667,18.6606666667,18.2666666667,18.5173333333,89775795,0.0,1.0
TSLA,2018-05-24 00:00:00+00:00,277.85,281.11,274.89,278.4,4176708,18.5233333333,18.7406666667,18.326,18.56,62650620,0.0,1.0
TSLA,2018-05-25 00:00:00+00:00,278.85,279.64,275.61,277.63,3875082,18.59,18.6426666667,18.374,18.5086666667,58126230,0.0,1.0
TSLA,2018-05-29 00:00:00+00:00,283.76,286.5,276.15,278.51,5666640,18.9173333333,19.1,18.41,18.5673333333,84999600,0.0,1.0
TSLA,2018-05-30 00:00:00+00:00,291.72,295.01,281.6,283.29,7489686,19.448,19.6673333333,18.7733333333,18.886,112345290,0.0,1.0
TSLA,2018-05-31 00:00:00+00:00,284.73,290.37,282.93,287.21,5919721,18.982,19.358,18.862,19.1473333333,88795815,0.0,1.0
TSLA,2018-06-01 00:00:00+00:00,291.82,291.95,283.84,285.86,5424386,19.4546666667,19.4633333333,18.9226666667,19.0573333333,81365790,0.0,1.0
TSLA,2018-06-04 00:00:00+00:00,296.74,299.0,293.55,294.34,4797810,19.7826666667,19.9333333333,19.57,19.6226666667,71967150,0.0,1.0
TSLA,2018-06-05 00:00:00+00:00,291.13,297.8,286.74,297.7,5995157,19.4086666667,19.8533333333,19.116,19.8466666667,89927355,0.0,1.0
TSLA,2018-06-06 00:00:00+00:00,319.5,322.17,297.48,300.5,18767269,21.3,21.478,19.832,20.0333333333,281509035,0.0,1.0
TSLA,2018-06-07 00:00:00+00:00,316.09,330.0,313.58,316.15,14345271,21.0726666667,22.0,20.9053333333,21.0766666667,215179065,0.0,1.0
TSLA,2018-06-08 00:00:00+00:00,317.66,324.48,317.15,319.0,8205202,21.1773333333,21.632,21.1433333333,21.2666666667,123078030,0.0,1.0
TSLA,2018-06-11 00:00:00+00:00,332.1,334.66,322.5,322.51,13183473,22.14,22.3106666667,21.5,21.5006666667,197752095,0.0,1.0
